,0 pi,2/3 pi,4/3 pi
198,1050054.2922108045,1048655.7841014902,1047020.1230822814
199,1050077.9556016966,1048657.0724994321,1046995.242233486
200,1049868.0788544992,1049025.6213255743,1046836.634899233
201,1049936.8924786835,1048955.9083846523,1046837.5921052322
202,1049692.8896893486,1049294.664521728,1046742.8892047894
203,1050057.308706133,1048817.800964588,1046855.3762183924
204,1050199.5850790774,1048582.3987747014,1046948.5360904664
205,1050074.8885162515,1048820.6789210297,1046834.9777720299
206,1049657.7757405713,1049381.5886358242,1046691.1970458532
207,1050432.4727653367,1047981.732856297,1047316.3627798433
208,1050414.5242985978,1048055.4493571431,1047260.592414573
209,1050309.8292736958,1048363.156749363,1047057.568440531
210,1050294.7269201546,1048383.8094679026,1047051.9973059705
211,1050363.6474836715,1048164.1609239946,1047202.6955872143
212,1050397.441176293,1047981.8851422131,1047351.1393597019
213,1050350.3475022442,1048111.4442723253,1047268.6273835506
214,1050339.3383593792,1048082.6299874419,1047308.3965712809
215,1050348.3531121083,1047939.0298514727,1047442.9205574694
216,1050325.375952229,1047928.0638403912,1047476.7958038879
217,1050188.7350113185,1048334.5231961388,1047206.9036046787
218,1050069.9605141345,1048545.3880305337,1047114.7343520211
219,1050187.5960874856,1048159.0189014951,1047383.3846015796
220,1050211.5393824761,1047789.1796155085,1047729.1936698295
221,1050173.037489623,1047780.852685894,1047775.9327226491
222,1050132.258686226,1047803.5301639306,1047793.9421946883
223,1050089.7906289543,1047819.9240235157,1047819.9232183931
224,1047773.5964570177,1047820.5744183142,1050135.568040455
225,1047737.4761125102,1047814.8629227069,1050177.4954710954
226,1047624.8747408785,1047893.8114732802,1050211.2421324928
227,1047116.5514379195,1048586.4699541675,1050026.998248971
228,1047557.1853054856,1047890.4597807796,1050282.462515668
229,1047797.0353161541,1047609.3986256133,1050323.7574868114
230,1047659.5006073994,1047712.6606947866,1050358.109032429
231,1047625.9005455406,1047718.325793627,1050386.1172279965
232,1047976.778212184,1047374.331781509,1050379.3004008124
233,1047705.784991914,1047590.6828560622,1050434.0023089703
234,1047997.6002321623,1047319.494005236,1050413.427989461
235,1047503.8736055606,1047761.5872428446,1050465.105221908
236,1047347.1645828133,1047929.3981113672,1050454.038527353
237,1046712.763076428,1049123.261040369,1049894.603188495
238,1049835.2898096624,1049206.559573377,1046688.7946589128
239,1050502.1655405262,1047614.2433647005,1047614.2423403525
240,1048608.3957043977,1050227.4904859029,1046894.762652981
241,1046925.7552464525,1048553.7450730351,1050251.1365342636
242,1047050.6065348397,1048342.3305994689,1050337.6782863748
243,1046799.9093689746,1048880.4032292948,1050050.2721621273
244,1046709.333956593,1049280.0893735897,1049741.1218791283
245,1046789.9428756472,1048997.239837386,1049943.314478327
246,1046760.5345967228,1049192.3220255326,1049777.5845794247
247,1046836.7403444115,1048975.1294091933,1049918.5080685383
248,1046792.3780619848,1049290.7281258346,1049647.2015201738
249,1047185.7612697331,1048329.4637815723,1050215.0064914986
250,1047796.4897639623,1047625.9499219004,1050307.7103970672
251,1046949.244554551,1048968.595351244,1049812.2241855082
252,1049591.386270935,1049208.5972634377,1046929.9908258443
