,0 pi,2/3 pi,4/3 pi
169,1070296.6164025904,1043719.4784442313,1032077.8844190169
170,1089581.1931419556,1015937.016840964,1041542.8369922538
171,1096885.6740628139,993109.9109634823,1058356.7738302124
172,1098277.5544752625,970995.3977719859,1081000.9673647874
173,1040446.4550638245,1045437.3017424603,1059942.0543828155
174,1042937.2279145934,1053691.240596952,1049127.3144661968
175,1032944.4439663381,1076610.8307740844,1036730.8634871101
176,984313.6676212534,973522.8020871225,1204028.294514204
177,1021430.4987681381,1072379.294252377,1052547.2093966298
178,1044732.1625206212,1024865.8149903363,1076784.4930582405
179,1044519.9843789445,1060444.3784854026,1040866.9844519591
180,1025687.6986246658,1033160.7050775996,1087983.0030668199
181,1061000.3850093866,1055190.6254893807,1029799.5600396179
182,1078051.8585448994,1064769.3621575413,1004377.2771574437
183,1049067.692678856,1045150.3014219195,1051519.849434472
184,1067099.5638506743,976231.5085924438,1106662.1322860778
185,1028970.0923874548,1051133.2389820546,1065955.0820610845
186,1053402.1136053533,1051571.759283104,1040798.3571068364
187,1036997.945557003,1055559.478010605,1053268.2490526894
188,991836.2575998002,1068973.2761478405,1087368.6045100559
189,1067393.0180216813,1027713.2296707801,1051000.9177934865
190,1018239.3297833496,1055020.2210427981,1073216.5160967496
191,1063776.0701265705,1021752.1580111596,1060723.352134954
192,1764749.332404184,358977.184569548,1577774.5788595267
193,1053940.780774353,1040169.6338384092,1051669.568806657
194,1036119.3570820888,1050764.8125044976,1058971.6335508788
195,1051576.7160335085,1060545.4652169326,1033782.7737342021
196,1127185.8864558288,1027890.5843632395,995159.5222874233
197,978871.0242925718,1141257.2266918905,1032134.6480148826
198,923967.7481711047,1209198.4531197646,1032331.6510559053
199,1000490.8038480004,1089095.2018877645,1058069.7921051295
200,989965.6432098433,1169980.4982419733,995762.2127387283
201,1136641.4771384788,968146.9563422264,1047715.3254778617
202,1259286.694455917,897348.2165916152,1021357.1845109205
203,1081945.1125450635,1053025.1926500187,1011937.9503767933
204,1439121.4860278447,805965.3839349481,1000922.1239767919
205,1055552.5799004848,1038641.9693326901,1051608.0993384763
206,1032995.9575202053,1062834.6603062828,1050111.190561961
207,1062902.5861103854,1030209.7110728135,1052883.2562575575
208,1092491.6939998597,1095415.653223831,963253.1148968633
209,1058539.7666944752,1032217.3242407499,1055166.5580282055
210,1065149.2141129107,1055907.2573193726,1025091.0979199355
211,1037145.6376855957,1044762.3863889619,1064002.6848126417
212,1076743.8768971174,1040744.5839073006,1028832.9305132269
213,1030490.4665164602,1037713.7489948318,1078153.0889948376
214,1025818.5216162144,1022600.5710306305,1099094.0106427171
215,1047617.7902548411,1059021.7127407596,1039183.0328007451
216,1038162.2862385208,1102516.6466441478,1007299.7752041995
217,1048997.3433724628,1051983.5727750713,1044759.6502070073
218,1030522.8831509964,1042969.8924019678,1072682.692904488
219,1051902.7678408013,1049250.2735588022,1044588.0362537733
220,1038841.1089235973,1043962.7432897962,1063079.7884103318
221,1035477.1104188224,1061223.4779313183,1049185.6753146504
222,1059831.567335635,1053002.6214389422,1033078.0881522844
223,1060777.4462110233,1056699.1423459812,1028545.1745717346
224,983799.4422085234,1148405.5517517403,1020640.0277846438
225,1061995.6786508476,1034182.886437034,1049734.7246249262
226,1059007.1381380681,1075795.0103624875,1011969.8069479474
227,1008736.5757944708,1059628.434979945,1078607.883972021
228,1078086.9748303022,1052930.5614040724,1015651.542214575
229,1040450.8340652878,1052489.4631975717,1052835.1351588345
230,1043189.8801980654,1018656.800397091,1084952.8000031225
231,1050212.4733533256,1059590.5023837085,1036058.8582317631
232,1046970.0673715301,1112917.617669998,989478.8147861125
233,1046669.0423221664,1042567.9432899189,1056540.2053830423
234,1039702.9728053333,1027987.6219217161,1078709.992984902
235,1034683.7307869579,1069800.21573663,1041574.2397401021
236,1034039.6410984341,1010218.1178981957,1103721.8708195633
237,1030746.9226402526,1058716.3287614167,1056495.2512499064
238,1064349.4005998967,1021911.8221946647,1059986.4760538433
239,1069900.8897952158,1034700.6382349154,1041459.2508023588
240,1015588.0544972469,1172753.9858370547,968310.8195340165
241,1070099.296453313,1047041.8516509717,1028991.731855553
242,1049956.720669845,1040775.558342219,1055045.6020652894
243,1041587.0454433095,1044143.109897588,1060093.7612922192
244,1036904.0898457203,1051064.9891901514,1057868.0050675047
245,1060977.8949782765,1022011.9232870094,1063250.6457133386
246,1096082.6636726465,994022.9064830082,1058160.4613285998
247,1044213.5237195044,1051961.474613868,1049568.0109021037
248,1024560.8988907696,1081169.72737103,1040807.6178571275
249,1041803.7374575326,1052032.0795915865,1051925.096211545
250,1014171.5908998927,1077552.7308534735,1054987.9197805268
251,1074952.1141505511,1049968.47783787,1021489.8305234566
252,991325.4664105913,1106075.6426951531,1051468.7280150498
253,1034667.1350684089,1052383.4363491968,1058826.6892459064
254,1025192.398901264,1047814.0634941442,1073273.348279879
255,1048993.180081642,1054037.0709902633,1042728.358030288
